id,trn,n_trn
tri00001,NCT04246242,1
tri00002,NCT04252885,1
tri00003,NCT04255940,1
tri00004,NCT04260308,1
tri00005,NCT04260594,1
tri00006,NCT04261426,1
tri00007,NCT04261907,1
tri00008,ChiCTR2000029953,1
tri00009,ChiCTR2000029949,1
tri00010,ChiCTR2000029947,1
tri00011,ChiCTR2000029941,1
tri00012,ChiCTR2000029939,1
tri00013,ChiCTR2000029935,1
tri00014,ChiCTR2000029907,1
tri00015,ChiCTR2000029905,1
tri00016,ChiCTR2000029896,1
tri00017,ChiCTR2000029883,1
tri00018,ChiCTR2000029870,1
tri00019,ChiCTR2000029869,1
tri00020,ChiCTR2000029867,1
tri00021,ChiCTR2000029855,1
tri00022,ChiCTR2000029853,1
tri00023,ChiCTR2000029850,1
tri00024,ChiCTR2000029849,1
tri00025,ChiCTR2000029839,1
tri00026,ChiCTR2000029822,1
tri00027,ChiCTR2000029821,1
tri00028,ChiCTR2000029819,1
tri00029,ChiCTR2000029815,1
tri00030,ChiCTR2000029814,1
tri00031,ChiCTR2000029813,1
tri00032,ChiCTR2000029811,1
tri00033,ChiCTR2000029810,1
tri00034,ChiCTR2000029806,1
tri00035,ChiCTR2000029805,1
tri00036,ChiCTR2000029804,1
tri00037,ChiCTR2000029790,1
tri00038,ChiCTR2000029789,1
tri00039,ChiCTR2000029788,1
tri00040,ChiCTR2000029782,1
tri00041,ChiCTR2000029779,1
tri00042,ChiCTR2000029778,1
tri00043,ChiCTR2000029777,1
tri00044,ChiCTR2000029776,1
tri00045,ChiCTR2000029769,1
tri00046,ChiCTR2000029768,1
tri00047,ChiCTR2000029765,1
tri00048,ChiCTR2000029764,1
tri00049,ChiCTR2000029763,1
tri00050,ChiCTR2000029758,1
tri00051,ChiCTR2000029756,1
tri00052,ChiCTR2000029754,1
tri00053,ChiCTR2000029751,1
tri00054,ChiCTR2000029747,1
tri00055,ChiCTR2000029742,1
tri00056,ChiCTR2000029741,1
tri00057,ChiCTR2000029739,1
tri00058,ChiCTR2000029735,1
tri00059,ChiCTR2000029734,1
tri00060,ChiCTR2000029732,1
tri00061,ChiCTR2000029695,1
tri00062,ChiCTR2000029656,1
tri00063,ChiCTR2000029639,1
tri00064,ChiCTR2000029637,1
tri00065,ChiCTR2000029636,1
tri00066,ChiCTR2000029628,1
tri00067,ChiCTR2000029626,1
tri00068,ChiCTR2000029625,1
tri00069,ChiCTR2000029624,1
tri00070,ChiCTR2000029621,1
tri00071,ChiCTR2000029609,1
tri00072,ChiCTR2000029606,1
tri00073,ChiCTR2000029603,1
tri00074,ChiCTR2000029602,1
tri00075,ChiCTR2000029601,1
tri00076,ChiCTR2000029600,1
tri00077,ChiCTR2000029578,1
tri00078,ChiCTR2000029572,1
tri00079,ChiCTR2000029569,1
tri00080,ChiCTR2000029559,1
tri00081,ChiCTR2000029558,1
